Id da RUN,Score,Deliveres,steps,seed,status
476,67,6,159,314497,completed
477,40,6,161,622250,completed
478,74,6,152,375805,completed
479,75,6,137,597825,completed
480,-235,6,232,13432,completed
481,154,6,129,883069,completed
482,-46,6,188,911125,completed
483,141,6,138,254056,completed
484,161,6,120,52774,completed
485,-140,6,219,802095,completed
486,-157,6,221,124582,completed
487,45,6,155,296046,completed
488,119,6,128,467290,completed
489,81,6,155,496066,completed
490,88,6,153,97992,completed
491,27,6,174,971850,completed
492,180,6,116,549573,completed
493,-40,6,186,577739,completed
494,95,6,143,165663,completed
495,118,6,158,435097,completed
496,35,6,161,815389,completed
497,35,6,169,697456,completed
498,42,6,149,901664,completed
499,-121,6,198,20235,completed
500,168,6,120,650417,completed
501,145,6,142,413225,completed
502,45,6,173,300585,completed
503,-27,6,171,741177,completed
504,51,6,163,93162,completed
505,159,6,114,504258,completed
506,-153,6,227,332627,completed
507,-28,6,178,524621,completed
508,63,6,146,503633,completed
509,-32,6,214,274966,completed
510,-11,6,183,697591,completed
511,31,6,159,765717,completed
512,-41,6,184,321284,completed
513,-151,6,250,893366,completed
514,67,6,146,10093,completed
515,103,6,165,791816,completed
516,68,6,162,341049,completed
517,95,6,135,525880,completed
518,-16,6,194,742391,completed
519,55,6,160,226925,completed
520,93,6,157,997541,completed
521,-8,6,183,401705,completed
522,69,6,166,909513,completed
523,28,6,168,42559,completed
524,54,6,146,77898,completed
525,-67,6,228,229212,completed
526,18,6,158,796276,completed
527,-29,6,172,920380,completed
528,57,6,178,971700,completed
529,133,6,124,825341,completed
530,139,6,127,614414,completed
531,28,6,181,995890,completed
532,-129,6,210,941584,completed
533,117,6,130,719446,completed
534,81,6,166,377726,completed
535,105,6,156,140139,completed
536,-88,6,205,150239,completed
537,120,6,133,262902,completed
538,163,6,111,61307,completed
539,-1,6,190,285652,completed
540,171,6,110,669688,completed
541,108,6,130,36571,completed
542,77,6,139,184393,completed
543,124,6,141,708401,completed
544,152,6,131,528606,completed
545,85,6,139,438166,completed
546,19,6,189,656872,completed
547,173,6,127,109362,completed
548,-44,6,166,171222,completed
549,-144,6,229,4588,completed
550,47,6,175,190137,completed
551,100,6,149,694322,completed
552,33,6,161,527034,completed
553,-83,6,185,748679,completed
554,106,6,151,229407,completed
555,-24,6,190,466315,completed
556,15,6,152,566411,completed
557,43,6,157,659526,completed
558,88,6,127,716819,completed
559,83,6,155,914089,completed
560,-5,6,173,118836,completed
561,52,6,159,847719,completed
562,-65,6,186,349870,completed
563,15,6,180,987503,completed
564,87,6,135,361399,completed
565,-56,6,171,936735,completed
566,14,6,196,266826,completed
567,51,6,138,144234,completed
568,20,6,148,513362,completed
569,12,6,180,320798,completed
570,71,6,146,803887,completed
571,11,6,168,417558,completed
572,-58,6,179,215229,completed
573,-12,6,179,405453,completed
574,-3,6,187,611775,completed
575,112,6,136,281821,completed
576,-48,6,203,1890,completed
577,-11,6,168,820565,completed
578,31,6,142,233333,completed
579,29,6,174,541234,completed
580,84,6,135,520398,completed
581,98,6,123,80465,completed
582,-75,6,200,499720,completed
583,-105,6,196,938565,completed
584,130,6,144,442564,completed
585,112,6,143,761404,completed
586,22,6,177,704841,completed
587,82,6,149,176270,completed
588,57,6,166,568016,completed
589,151,6,122,70758,completed
590,11,6,154,906344,completed
591,51,6,150,947684,completed
592,96,6,147,557139,completed
593,174,6,126,307867,completed
594,86,6,119,159770,completed
595,77,6,165,477002,completed
596,0,6,164,532319,completed
597,93,6,131,822429,completed
598,-12,6,178,661084,completed
599,61,6,148,815995,completed
600,48,6,141,64175,completed
601,37,6,160,194146,completed
602,-18,6,174,465617,completed
603,165,6,126,646285,completed
604,111,6,111,390403,completed
605,-69,6,205,785174,completed
606,67,6,168,688248,completed
607,50,6,189,379241,completed
608,-162,6,213,737404,completed
609,127,6,158,130733,completed
610,10,6,202,111478,completed
611,-79,6,208,632517,completed
612,47,6,140,852642,completed
613,12,6,180,974788,completed
614,-11,6,179,261430,completed
615,39,6,158,897774,completed
616,65,6,137,469450,completed
617,-17,6,178,685463,completed
618,82,6,147,610967,completed
619,104,6,148,537190,completed
620,44,6,153,17511,completed
621,47,6,155,54507,completed
622,8,6,175,173281,completed
623,76,6,161,839660,completed
624,24,6,190,171278,completed
625,-6,6,190,204899,completed
626,-67,6,207,90741,completed
627,-49,6,209,216477,completed
628,132,6,122,433162,completed
629,59,6,160,911104,completed
630,45,6,167,923700,completed
631,58,6,157,557021,completed
632,98,6,125,815575,completed
633,13,6,183,526862,completed
634,116,6,160,451586,completed
635,-182,6,191,368832,completed
636,177,6,123,925854,completed
637,121,6,158,710852,completed
638,21,6,191,631158,completed
639,50,6,153,446217,completed
640,-32,6,195,143321,completed
641,88,6,133,514149,completed
642,114,6,152,582707,completed
643,69,6,143,183415,completed
644,10,6,171,814331,completed
645,179,6,114,450886,completed
646,-76,6,185,919122,completed
647,136,6,131,643472,completed
648,-14,6,171,82703,completed
649,77,6,140,580566,completed
650,-43,6,164,197869,completed
651,169,6,122,617587,completed
652,-4,6,172,144901,completed
653,82,6,146,683901,completed
654,98,6,153,785436,completed
655,180,6,120,122767,completed
656,-13,6,197,174199,completed
657,-26,6,180,139252,completed
658,97,6,126,28487,completed
659,-49,6,219,284039,completed
660,26,6,173,441703,completed
661,96,6,149,946440,completed
662,130,6,134,146445,completed
663,49,6,145,751472,completed
664,137,6,137,470639,completed
665,36,6,181,265246,completed
666,41,6,158,153183,completed
667,-138,6,244,285133,completed
668,-12,6,198,854998,completed
669,15,6,172,305871,completed
670,7,6,162,69277,completed
671,-76,6,224,738333,completed
672,96,6,171,159140,completed
673,49,6,177,817526,completed
674,185,6,115,64350,completed
675,66,6,174,612932,completed
676,43,6,166,259909,completed
677,-38,6,163,77005,completed
678,49,6,154,551761,completed
679,-33,6,179,706704,completed
680,2,6,176,414634,completed
681,118,6,117,800669,completed
682,-42,6,191,816502,completed
683,0,6,174,311133,completed
684,131,6,157,115923,completed
685,42,6,155,32563,completed
686,-146,6,196,640699,completed
687,126,6,126,126325,completed
688,-198,6,239,149301,completed
689,31,6,155,279925,completed
690,45,6,139,620803,completed
691,42,6,159,911399,completed
692,-50,6,209,702572,completed
693,47,6,169,127981,completed
694,28,6,188,540124,completed
695,102,6,127,832145,completed
696,37,6,193,850845,completed
697,108,6,126,788986,completed
698,42,6,187,239932,completed
699,38,6,168,193543,completed
700,111,6,134,386092,completed
701,103,6,153,48092,completed
702,14,6,183,730834,completed
703,-18,6,173,245274,completed
704,40,6,158,517870,completed
705,2,6,156,140928,completed
706,137,6,141,57105,completed
707,-22,6,185,223707,completed
708,80,6,144,964292,completed
709,47,6,168,220934,completed
710,88,6,142,826808,completed
711,-55,6,163,874741,completed
712,73,6,147,924998,completed
713,32,6,184,110833,completed
714,-65,6,207,510627,completed
715,2,6,171,167904,completed
716,-196,6,246,868198,completed
717,71,6,137,219067,completed
718,155,6,135,614966,completed
719,31,6,176,196425,completed
720,55,6,153,884257,completed
721,113,6,148,487018,completed
722,-77,6,177,706731,completed
723,-16,6,166,965450,completed
724,-112,6,174,885350,completed
725,31,6,143,500356,completed
726,19,6,192,641797,completed
727,187,6,102,466035,completed
728,28,6,164,407847,completed
729,98,6,137,853353,completed
730,133,6,131,647506,completed
731,106,6,139,250429,completed
732,-54,6,184,720940,completed
733,159,6,117,24694,completed
734,-35,6,200,987330,completed
735,45,6,175,603545,completed
736,-15,6,183,75085,completed
737,81,6,152,414195,completed
738,48,6,153,315553,completed
739,177,6,105,115624,completed
740,146,6,120,891674,completed
741,-303,6,247,296229,completed
742,-113,6,215,736407,completed
743,28,6,181,622587,completed
744,-25,6,187,293509,completed
745,74,6,162,14399,completed
746,114,6,118,498844,completed
747,135,6,124,642973,completed
748,77,6,127,79334,completed
749,149,6,137,310576,completed
750,45,6,154,776867,completed
751,-20,6,185,575857,completed
752,-112,6,201,968297,completed
753,-178,6,236,30822,completed
754,128,6,117,461823,completed
755,-479,6,301,157675,completed
756,170,6,130,332883,completed
757,62,6,172,536801,completed
758,-51,6,195,332483,completed
759,62,6,144,36755,completed
760,-15,6,164,183202,completed
761,-281,6,287,178387,completed
762,115,6,133,400579,completed
763,167,6,121,850820,completed
764,29,6,155,774117,completed
765,67,6,152,478369,completed
766,-6,6,172,70988,completed
767,88,6,144,916628,completed
768,-53,6,198,519404,completed
769,129,6,145,265901,completed
770,37,6,168,330619,completed
771,150,6,142,230732,completed
772,192,6,108,107967,completed
773,-148,6,185,188901,completed
774,109,6,128,156931,completed
775,31,6,172,260478,completed
776,73,6,171,518136,completed
777,35,6,174,901391,completed
778,157,6,135,695130,completed
779,-58,6,180,611155,completed
780,143,6,141,388461,completed
781,86,6,145,316400,completed
782,139,6,135,284719,completed
783,-69,6,175,186769,completed
784,157,6,115,561787,completed
785,106,6,154,628508,completed
786,49,6,160,603425,completed
787,56,6,173,532671,completed
788,157,6,128,927337,completed
789,152,6,135,894743,completed
790,50,6,169,71132,completed
791,-88,6,163,149732,completed
792,-37,6,205,489763,completed
793,54,6,156,489717,completed
794,74,6,166,676766,completed
795,69,6,150,688363,completed
796,21,6,188,771497,completed
797,46,6,184,396789,completed
798,-249,6,254,215050,completed
799,36,6,155,574912,completed
800,20,6,169,699977,completed
801,127,6,148,535721,completed
802,-31,6,189,232149,completed
803,26,6,165,196238,completed
804,173,6,127,762025,completed
805,-68,6,221,242150,completed
806,22,6,160,4496,completed
807,23,6,159,679372,completed
808,120,6,134,272035,completed
809,71,6,153,307656,completed
810,-41,6,168,800610,completed
811,96,6,154,295240,completed
812,69,6,160,34861,completed
813,-5,6,190,253411,completed
814,105,6,144,316429,completed
815,-22,6,207,903392,completed
816,-158,6,226,491899,completed
817,65,6,133,238345,completed
818,-165,6,214,210059,completed
819,-45,6,197,348985,completed
820,-57,6,201,744596,completed
821,197,6,103,79510,completed
822,4,6,179,772157,completed
823,149,6,108,940015,completed
824,-31,6,166,120946,completed
825,-4,6,187,668350,completed
826,-73,6,208,582508,completed
827,78,6,148,723148,completed
828,45,6,163,112373,completed
829,138,6,133,994514,completed
830,75,6,156,565673,completed
831,39,6,179,861972,completed
832,55,6,153,73816,completed
833,112,6,121,628297,completed
834,-213,6,206,233585,completed
835,35,6,153,34067,completed
836,64,6,139,840681,completed
837,53,6,167,750965,completed
838,37,6,157,74751,completed
839,-118,6,229,454961,completed
840,13,6,185,782964,completed
841,140,6,145,806097,completed
842,18,6,161,561585,completed
843,15,6,174,718923,completed
844,-24,6,175,855519,completed
845,149,6,135,364295,completed
846,-137,6,196,356898,completed
847,-18,6,180,910799,completed
848,78,6,151,144139,completed
849,8,6,177,901368,completed
850,85,6,145,971186,completed
851,38,6,158,750068,completed
852,38,6,155,655064,completed
853,-110,6,209,98207,completed
854,129,6,122,474154,completed
855,49,6,145,731054,completed
856,38,6,155,944853,completed
857,128,6,124,406468,completed
858,114,6,139,348422,completed
859,78,6,147,941560,completed
860,99,6,148,59139,completed
861,-34,6,184,844063,completed
862,-136,6,237,118757,completed
863,-111,6,186,410630,completed
864,58,6,154,686887,completed
865,-65,6,178,506552,completed
866,169,6,118,939660,completed
867,64,6,135,487206,completed
868,51,6,153,419784,completed
869,98,6,158,499420,completed
870,68,6,147,647569,completed
871,3,6,171,665559,completed
872,-10,6,166,501280,completed
873,46,6,152,876786,completed
874,148,6,152,387015,completed
875,107,6,133,774995,completed
876,122,6,135,95162,completed
877,98,6,135,42370,completed
878,80,6,127,875880,completed
879,41,6,150,365845,completed
880,115,6,143,365707,completed
881,34,6,179,653178,completed
882,8,6,155,658350,completed
883,57,6,146,28201,completed
884,107,6,142,644737,completed
885,-23,6,171,438894,completed
886,37,6,188,348957,completed
887,-105,6,196,734532,completed
888,139,6,117,971980,completed
889,-82,6,196,847948,completed
890,77,6,171,544024,completed
891,-87,6,212,326824,completed
892,177,6,118,29230,completed
893,153,6,134,805433,completed
894,-250,6,272,904769,completed
895,57,6,173,106860,completed
896,-88,6,201,539408,completed
897,72,6,165,213892,completed
898,-14,6,197,151416,completed
899,120,6,134,295954,completed
900,136,6,127,612946,completed
901,60,6,166,356542,completed
902,-86,6,202,818453,completed
903,-38,6,195,576525,completed
904,82,6,171,940052,completed
905,125,6,139,77488,completed
906,78,6,149,715544,completed
907,145,6,155,950817,completed
908,60,6,149,947873,completed
909,78,6,155,17777,completed
910,14,6,156,218793,completed
911,73,6,166,943544,completed
912,101,6,147,554120,completed
913,-9,6,172,509343,completed
914,-122,6,220,738409,completed
915,108,6,150,975374,completed
916,-57,6,201,747368,completed
917,78,6,156,671112,completed
918,138,6,141,713615,completed
919,-76,6,194,210636,completed
920,-54,6,191,135666,completed
921,-47,6,202,795167,completed
922,-180,6,239,56654,completed
923,-186,6,229,141968,completed
924,45,6,162,867109,completed
925,36,6,166,871167,completed
926,10,6,181,795561,completed
927,-20,6,181,739408,completed
928,168,6,111,886934,completed
929,134,6,121,558499,completed
930,28,6,169,235707,completed
931,13,6,165,686902,completed
932,100,6,139,353309,completed
933,68,6,167,869754,completed
934,18,6,181,282977,completed
935,30,6,170,704510,completed
936,-21,6,179,589007,completed
937,45,6,151,869634,completed
938,35,6,150,20621,completed
939,15,6,186,496165,completed
940,98,6,127,609878,completed
941,104,6,154,388707,completed
942,117,6,137,5771,completed
943,126,6,127,729449,completed
944,39,6,192,795896,completed
945,-161,6,207,577607,completed
946,117,6,130,507938,completed
947,-128,6,220,152463,completed
948,129,6,143,109857,completed
949,87,6,127,505808,completed
950,94,6,145,92475,completed
951,102,6,120,631006,completed
952,24,6,178,377304,completed
953,63,6,134,942174,completed
954,27,6,143,718717,completed
955,-186,6,233,847519,completed
956,69,6,166,967592,completed
957,-52,6,197,307548,completed
958,-3,6,171,295056,completed
959,130,6,111,205097,completed
960,34,6,173,859793,completed
961,-24,6,191,561851,completed
962,117,6,135,997231,completed
963,36,6,164,789452,completed
964,27,6,173,842303,completed
965,148,6,131,526856,completed
966,114,6,127,181387,completed
967,109,6,152,91980,completed
968,60,6,148,633213,completed
969,108,6,147,705395,completed
970,-114,6,213,519663,completed
971,67,6,150,561769,completed
972,33,6,172,12336,completed
973,119,6,120,827075,completed
974,91,6,137,282734,completed
975,-18,6,187,570595,completed
976,-52,6,192,461062,completed
977,34,6,155,136151,completed
978,49,6,145,848811,completed
979,104,6,132,958195,completed
980,-121,6,217,905802,completed
981,157,6,132,610494,completed
982,8,6,159,465735,completed
983,145,6,135,67133,completed
984,60,6,183,296704,completed
985,94,6,144,259864,completed
986,66,6,134,566642,completed
987,82,6,149,432351,completed
988,99,6,140,921970,completed
989,158,6,121,350043,completed
990,-84,6,204,384992,completed
991,141,6,111,485542,completed
992,139,6,145,329664,completed
993,117,6,138,612065,completed
994,39,6,143,616338,completed
995,-45,6,185,533582,completed
996,-260,6,242,453564,completed
997,-136,6,187,218686,completed
998,61,6,140,894062,completed
999,83,6,148,804943,completed
1000,-121,6,221,618870,completed
